02026-05-04T19:16:34.588973 | ADMIN_LOGIN_FALHA | IP: 127.0.0.1 | Token: None | Senha incorreta
2026-05-04T19:16:45.354530 | ADMIN_LOGIN_FALHA | IP: 127.0.0.1 | Token: None | Senha incorreta
2026-05-04T19:20:03.976411 | ADMIN_LOGIN_FALHA | IP: 127.0.0.1 | Token: None | Senha incorreta
2026-05-04T19:20:15.813500 | ADMIN_LOGIN_FALHA | IP: 127.0.0.1 | Token: None | Senha incorreta
2026-05-04T19:20:35.606869 | ADMIN_LOGIN_FALHA | IP: 127.0.0.1 | Token: None | Senha incorreta
2026-05-04T19:32:43.997858 | ADMIN_LOGIN_SUCESSO | IP: 127.0.0.1 | Token: None | 
2026-05-04T19:35:16.799730 | ADMIN_LOGIN_SUCESSO | IP: 127.0.0.1 | Token: None | 
2026-05-04T19:35:50.379075 | SALA_CRIADA | IP: 127.0.0.1 | Token: 2a5d7993 | Nome: Amor da minha vida
2026-05-04T19:36:04.248419 | USUARIO_REDIRECIONADO | IP: 192.168.1.7 | Token: 2a5d7993 | 
2026-05-04T19:36:04.719854 | WEBSOCKET_ENTROU | IP: 192.168.1.7 | Token: 2a5d7993 | Usuário: Anônimo
2026-05-04T19:36:18.065038 | USUARIO_REDIRECIONADO | IP: 127.0.0.1 | Token: 2a5d7993 | 
2026-05-04T19:36:18.244794 | WEBSOCKET_ENTROU | IP: 127.0.0.1 | Token: 2a5d7993 | Usuário: Anônimo
2026-05-04T19:36:23.268607 | WEBSOCKET_ENTROU | IP: 127.0.0.1 | Token: 2a5d7993 | Usuário: Peek
2026-05-04T19:36:52.177302 | WEBSOCKET_ENTROU | IP: 192.168.1.7 | Token: 2a5d7993 | Usuário: Lexy
2026-05-04T19:37:25.653199 | WEBSOCKET_ENTROU | IP: 192.168.1.7 | Token: 2a5d7993 | Usuário: Anônimo
2026-05-04T19:42:12.198768 | WEBSOCKET_ENTROU | IP: 127.0.0.1 | Token: 2a5d7993 | Usuário: Peek
2026-05-04T19:42:55.690841 | ADMIN_LOGIN_SUCESSO | IP: 127.0.0.1 | Token: None | 
2026-05-04T19:43:06.871456 | SALA_CRIADA | IP: 127.0.0.1 | Token: 852218c1 | Nome: Lab
2026-05-04T19:43:13.579611 | USUARIO_REDIRECIONADO | IP: 127.0.0.1 | Token: 852218c1 | 
2026-05-04T19:43:13.694530 | WEBSOCKET_ENTROU | IP: 127.0.0.1 | Token: 852218c1 | Usuário: Anônimo
2026-05-04T19:43:26.613692 | USUARIO_REDIRECIONADO | IP: 127.0.0.1 | Token: 852218c1 | 
2026-05-04T19:43:26.764135 | WEBSOCKET_ENTROU | IP: 127.0.0.1 | Token: 852218c1 | Usuário: Anônimo
2026-05-04T19:43:31.552354 | WEBSOCKET_ENTROU | IP: 127.0.0.1 | Token: 852218c1 | Usuário: Anônimo2
